Sr. No.,Job Title,Company Name,Experience Required,Salary,Location,Job Description,Key Skills
108,AI / ML Engineer  ( II / III )  ,    Whatfix,3 - 10 yrs,,Bengaluru / Bangalore,"Whatfix is the #1 Digital Adoption Platform  ( DAP )  for Enterprises. We are disrupting the way Learning ,  Training and Application Support content is consumed. We provide l","rest  ,  algorithms  ,  python  ,  natural language processing  ,  application support  ,  technical skills"
109,      Artificial Intelligence  ( AI )  Software Engineer ,    FUGENX TECHNOLOGIES,2 - 5 yrs,,Bengaluru / Bangalore,"Experience Required : 2  4 years ExperienceSkills Required: : BE / B TECH  ( Computer Science  /  IT )  ,  MCA ,  BBM ,  MBA.Job Location : BangaloreThe position requires a de","c    ,  css  ,  html5  ,  artificial intelligence  ,  java  ,  google api  ,  devops  ,  api  ,  big data  ,  rest  ,  github  ,  python  ,  javascript  ,  written communication  ,  .net  ,  soap"
110,      Software Testing Engineer ,    HR Jobs Placements,5 - 10 yrs,,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon","Responsible for software quality effort on applications or embedded software projects. Plan ,  organize ,  and do execution of software quality activities . Responsible for al","c  ,  c ++  ,  python  ,  VB J2EE  ,  embedded testing"
111,"      Architect ,  Architect Designer ,  Architect Consultant ",    Aryan technologies,0 - 3 yrs,₹Rs 3.50 - 7.00 Lacs p.a.,"Delhi,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune",Job Description:Architect EngineerVery Urgent RequirementIf Your Profile Matches The Above Requirement And If You're Interested In The Above Opening Kindly Email Your Resume A,"Architectural Design  ,  Architectural Drafting  ,  Architectural engineer  ,  Architect Architect Designer  ,   Architect Consultant  ,   Architect Consultant"
112,"      Electronics Engineer , Electronics Communication Engineer ",    Aryan technologies,0 - 3 yrs,₹Rs 3.50 - 6.75 Lacs p.a.,"Delhi/NCR,  Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Pune","Job Description:Electronics Engineer ,  Electronics Communication EngineerVery Urgent Requirement If Your Profile Matches The Above Requirement And If You're Interested In The","Electronics Engineer  ,  Electronics Communication Engineer  ,  industrial electronics  ,  power electronics"
113,"      Civil Engineer , Site Supervisor ",    Aryan technologies,0 - 3 yrs,₹Rs 3.75 - 6.75 Lacs p.a.,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune",Job Description:Civil Engineer  Very Urgent RequirementIf Your Profile Matches The Above Requirement And If You're Interested In The Above Opening Kindly Email Your Resume At ,"Construction Civil Engineering  ,  Civil Engineer  ,  site engineer  ,  site coordinator  ,  site consultant  ,  site supervisor"
114,      Machine Learning Internship in Mumbai ,    Maxgen Technologies,0 - 1 yrs,,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","Maxgen Technologies Pvt Ltd offering Live Project  Internship in Mumbai. we are offering Internship in Core Python  , Machine Learning .why our Company is Best?we offer Live P","

ai
 
directions_walk
Walk-in Details 27-Mar-2022 - 26-May-2022  09:00 AM - 05:00 PM   Maxgen Technologies Pvt Ltd.
Ambiance 1505,Sector 19 D,
Opposite R.T.O,
Backside Of Fortune Hotel,
Vashi , Navi Mumbai
"
115,      Software Engineer AI / ML Platform ,    zerogons services pvt ltd,7 - 10 yrs,,Pune,7  yrs of relevant Product Management Experience  Post full time MBA from a Tier 1 B-School onlyBackground in Product Management  /  Product DesignVisualize and Conceptualize ,"Product Design  ,  Software Engineer  ,  emerging IT trends"
116,      Senior Automation Engineer - AI / ML ,    Parallel Wireless,6 - 10 yrs,,Bengaluru / Bangalore,What you will do- Lead design and development of an automation framework and test cases to test AI applications- Integrate automation test cases with the CI and CD framework- ,"rest api  ,  software requirements  ,  sql  ,  docker  ,  java  ,  linux  ,  telecom  ,  software engineering  ,  perl  ,  python  ,  mobile  ,  team player  ,  infrastructure"
117,      Sr. Software Engineer  ( AI CoE )  ,    Coupa Software Inc.,4 - 7 yrs,,Pune,"Responsibilities: Build AI applications as part of our Center of Excellence ,  enabling our customers to optimize their spend and maximize savings.automate data loading proces","bi  ,  sql  ,  python  ,  ruby"
118,AI Software Solutions Engineer  ( Embedded )  ,    Intel Technology India Pvt Ltd,5 - 8 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Embedded )  Job DescriptionJob Description :We are looking for a passionate embedded firmware and driver engineer to design ,  develop and op","c    ,  device drivers  ,  system software  ,  storage  ,  artificial intelligence  ,  linux  ,  software engineering  ,  api  ,  c  ,  problem solving  ,  embedded software  ,  system architecture"
119,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
120,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
121,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
122,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technology India Pvt Ltd,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
123,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technologies,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
124,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technologies,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
125,AI Software Solutions Engineer  ( Compiler )  ,    Intel Technologies,0 - 3 yrs,,Bengaluru / Bangalore,"AI Software Solutions Engineer  ( Compiler )  Job DescriptionWe are looking for a dynamic compiler engineer to design ,  develop and optimize for performance ,  of compilers f","Information Systems  ,   Computer Science  ,   Computer Engineering  ,  Software Engineering"
126,      Data Engineer AI /  IoT Platform ,    CAREERXPERTS CONSULTING,1 - 4 yrs,,Bengaluru / Bangalore,"We are a well-funded tech start-up founded by a unique team of seasoned industry veterans ,  legendary Silicon Valley serial entrepreneurs ,  and young technology and artifici","fundamentals  ,  algorithms  ,  scala  ,  artificial intelligence  ,  database  ,  java  ,  data structures  ,  mysql  ,  shell scripting  ,  api  ,  team player  ,  written communication  ,  hdfs  ,  unix  /  linux"
127,      Software Engineer AI / ML Platform ,    zerogons services pvt ltd,2 - 5 yrs,,Pune,2-5 years of relevant experience with AI and MLExperience in programming / debugging used in business applicationsWorking knowledge of industry practice and standardsComprehen,"debugging  ,  business applications  ,  python  ,  django  ,  scope technologies"
128,"      Research Associate , ""Deep Learning Engineer"" ",    RESEARCH DEVELOPERS,1 - 6 yrs,₹Rs 1.00 - 3.00 Lacs p.a.,"Delhi,  Delhi/NCR,  Noida/Greater Noida",We are looking for an efficient technical person with engineering or science background for our research work. Freshers and experienced candidates are invited for this job rol,"deep learning  ,  machine learning  ,  ai  ,  Artificial Intelligence"
129,      Design Engineer ,    Aryan technologies,0 - 3 yrs,₹Rs 3.80 - 6.50 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi/NCR,  Gurgaon,  Noida/Greater Noida",Job Description:We are hiring for Design EngineerVery Urgent Requirement If Your Profile Matches The Above Requirement And If You're Interested In The Above Opening Kindly Ema,"Sheet Metal  ,  3d Modeling  ,  Solid Modeling  ,  Assembling  ,  Metal Fabrication  ,  Piping  ,  Assembly  ,  Assembly Language"
130,      Senior Systems Design Engineer - AI / ML ,    Xilinx India Technology Services Pvt Ltd,5 - 8 yrs,,Hyderabad/Secunderabad,"Job DescriptionThe AI Engine systems team plays a key role in the development of C / C   based kernels for AI / ML systems ,  mapping a CNN / RNN / NLP network architecture in","c    ,  signal processing  ,  system development  ,  big data  ,  image processing  ,  python  ,  gdb  ,  dsp  ,  algorithms  ,  c  ,  kernel  ,  problem solving  ,  machine learning"
131,      Senior Systems Design Engineer - AI / ML ,    Xilinx India Technology Services Pvt Ltd,5 - 8 yrs,,Hyderabad/Secunderabad,Role:Define system architecture based on system requirements and create system design and validation specDefine functional and performance validation goals for intelligent vid,"dsp  ,  algorithms  ,  system development  ,  linux  ,  big data  ,  image processing  ,  problem solving  ,  machine learning  ,  system architecture"
132,AI Software Solutions Engineer  (  Full Stack Developer  )  ,    Intel Technology India Pvt Ltd,6 - 9 yrs,,Bengaluru / Bangalore,AI Software Solutions Engineer  (  Full Stack Developer  )  Job DescriptionYou will be working on cutting edge problems in Deep Learning for Intel AI Accelerator SW Stack in a,"algorithms  ,  c    ,  ece  ,  storage  ,  artificial intelligence  ,  debugging  ,  software engineering  ,  python"
133,AI Software Solutions Engineer  (  Full Stack Developer  )  ,    Intel Technologies,6 - 9 yrs,,Bengaluru / Bangalore,AI Software Solutions Engineer  (  Full Stack Developer  )  Job DescriptionYou will be working on cutting edge problems in Deep Learning for Intel AI Accelerator SW Stack in a,"algorithms  ,  c    ,  ece  ,  storage  ,  artificial intelligence  ,  debugging  ,  software engineering  ,  python"
134,      Principal Machine Learning Engineer AI Product Startup ,    CAREERXPERTS CONSULTING,6 - 9 yrs,,"Hyderabad/Secunderabad,  Chennai","Principal Machine Learning Engineer  AI Product Startup by SainathonFebruary 10 ,  2018 ML provides technical thought leadership on hard ,  business impacting problems. Report","algorithms  ,  c    ,  scala  ,  apache  ,  hadoop  ,  python  ,  machine learning  ,  mapreduce  ,  infrastructure  ,  hdfs"
135,      Lead UI Engineer AI  /  ML  Industry Leaders! ,    CAREERXPERTS CONSULTING,5 - 8 yrs,,Bengaluru / Bangalore,"You will join a well-funded tech start-up founded by a unique team of seasoned industry veterans ,  legendary Silicon Valley serial entrepreneurs ,  and young technology and A","artificial intelligence  ,  digitization  ,  python  ,  team player  ,  javascript  ,  node.js  ,  django"
136,"      Production Supervisor ,  Production Manager ,  Production Executive ",    Aryan technologies,0 - 3 yrs,₹Rs 3.50 - 6.75 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi/NCR,  Kolkata,  Noida/Greater Noida","Job Description:Production Supervisor ,  Production Manager ,  Production ExecutiveVery Urgent Requirement If Your Profile Matches The Above Requirement And If You're Interest","Production Supervisor  ,   Production Manager   ,  Production Executive  ,  production officer  ,  production incharge  ,  production engineer
 

"
137,      Electrical Engineer ,    Aryan technologies,0 - 3 yrs,₹Rs 3.75 - 6.75 Lacs p.a.,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune",Job Description:Electrical EngineerVery Urgent RequirementIf Your Profile Matches The Above Requirement And If You're Interested In The Above Opening Kindly Email Your Resume ,"graduate  ,   electrical engineering  ,   thermal engineering  ,   diploma  ,   iti"
138,      Crimson AI - Principal Engineer - Python /  Node.Js /  Golang ,    CRIMSON INTERACTIVE PVT LTD,6 - 9 yrs,,Mumbai,"About the role:Ownership of the product you buildUnderstand the larger picture and work towards itProactively work on ensuring the flexibility of the product ,  ensuring tech ","coding  ,  Golang   ,  mentoring  ,   ensuring the flexibility"
139,"      Production Supervisor ,  Production Manager ,  Production Executive ",    Aryan technologies,0 - 3 yrs,₹Rs 3.50 - 6.75 Lacs p.a.,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune","Job Description:Production Supervisor ,  Production Manager ,  Production ExecutiveVery Urgent Requirement If Your Profile Matches The Above Requirement And If You're Interest","Production Supervisor  ,   Production Manager   ,  Production Executive  ,  production officer  ,  production incharge  ,  production engineer
 

"
140,      Spark Backend Data Engineer AI / ML US Startup ,    CAREERXPERTS CONSULTING,2 - 5 yrs,,Bengaluru / Bangalore,This is an early tech team with <20 team members offering tremendous growth opportunities.You will get an opportunity to apply your big data skills in real world. Are you the ,"algorithms  ,  scala  ,  rest api  ,  team player  ,  storage  ,  machine learning  ,  docker  ,  java  ,  j2ee  ,  web development  ,  hadoop  ,  api  ,  big data"
141,      Machine Learning Internship in Mumbai ,    Maxgen Technologies,0 - 1 yrs,,"Mumbai,  Dombivali,  Kalyan,  Navi Mumbai,  Thane","Maxgen Technologies Pvt Ltd offering Live Project  Internship in Mumbai. we are offering Internship in Core Python  , Machine Learning .why our Company is Best?we offer Live P","machine learning  ,  ai
 
directions_walk
Walk-in Details 27-Mar-2022 - 26-May-2022  09:00 AM - 05:00 PM   Maxgen Technologies Pvt Ltd.
Ambiance 1505,Sector 19 D,
Opposite R.T.O,
Backside Of Fortune Hotel,
Vashi , Navi Mumbai
"
142,"      Software Engineer , Fresher .net Developer ",    Aryan technologies,0 - 3 yrs,₹Rs 3.75 - 6.50 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi/NCR,  Kolkata,  Noida/Greater Noida","Job Description:Fresher  .net DeveloperSoftware Development - Knowledge of .net , ASP .net or VB .net or c# .net or ASP or HTML or JavaScript or CSS or Database is preferred.c","ASP .net c#  ,  ASP .net Web Development  ,  ASP Programming  ,  ASP JScript  ,  ASP Scripting  ,  Asp.net"
143,AI Scientist ,    TARGET,0 - 3 yrs,,Bengaluru / Bangalore,A.I. Scientist will aid in implementing Science solutions for applications driven by artificial intelligence and machine learning in the retail domain. AI Scientist will work ,"hql  ,  scala  ,  artificial intelligence  ,  sql  ,  java  ,  software engineering  ,  python  ,  machine learning"
144,AI Consultant ,    WELLS FARGO INDIA,7 - 10 yrs,,Bengaluru / Bangalore,"AI / ML CoE Platform services ,  as part of the Data Management and Insight  ( DMI )  group within the Chief Operating Officer  ( COO )   ,  provides and supports all the requ","Big Data  ,  project management methodologies  ,  Data Science Platforms"
145,AI Developer ,    Analytics Vidhya,5 - 8 yrs,,"Delhi,  Delhi/NCR",Details:Department / Project Name: Stupa Sports Analytics Location: DelhiRole: Sr. AI developer Employment Type: PermanentNo of Resources Required: 1 Resources On-Board by: AS,"algorithms  ,  c    ,  java  ,  software packages  ,  python  ,  mobile  ,  problem solving  ,  machine learning  ,  opencv"
146,"      Manual Testing , Test Engineer , Fresher Software Test Engineer ",    Aryan technologies,0 - 3 yrs,₹Rs 3.80 - 6.75 Lacs p.a.,"Ahmedabad,  Chennai,  Delhi/NCR,  Kolkata,  Noida/Greater Noida","Job Description:Fresher Software Test Engineer ,  Software Tester ,  Software TestingCandidate Profile:Candidate should be B.E. /  B Tech. /  B.C.A. /  M.C.A. / M.C.M. Very Ur","test eng  ,  manual testing  ,  Automated Test Tools  ,  Automated Testing"
147,      Design Engineer ,    Aryan technologies,0 - 3 yrs,₹Rs 3.80 - 6.50 Lacs p.a.,"Bengaluru / Bangalore,  Delhi,  Hyderabad/Secunderabad,  Mumbai,  Pune",Job Description:We are hiring for Design EngineerVery Urgent Requirement If Your Profile Matches The Above Requirement And If You're Interested In The Above Opening Kindly Ema,"Sheet Metal  ,  3d Modeling  ,  Solid Modeling  ,  Assembling  ,  Metal Fabrication  ,  Piping  ,  Assembly  ,  Assembly Language"
148,AI Platform Engineering Director ,    Schneider Electric Pvt Ltd,15 - 18 yrs,,Bengaluru / Bangalore,The attractiveness of a platform to end-users comes not from the platform itself but from what they can do with it. Schneider Digital is leading the digital transformation of ,"devops  ,  software engineering  ,  data structures  ,  github  ,  director  ,  mining  ,  nosql  ,  messaging  ,  fundamentals  ,  algorithms  ,  hosting  ,  security  ,  software engineer  ,  natural language processing  ,  machine learning  ,  project delivery  ,  splunk"
149,      Senior Software Engineer-RPA  / AI ,    TECHNOPARK TRIVANDRUM,2 - 5 yrs,,Thiruvananthapuram,The candidate should be ready to work from our THIRUVANANTHAPURAM officeResponsibilities Include:Hands-on Experience with IQbotHands-on Experience with A2019Understand the Pro,"solution architect  ,  testing  ,  uat  ,  ui"
150,AI Software / Accelerators Development Engineer ,    Xilinx India Technology Services Pvt Ltd,6 - 9 yrs,,Hyderabad/Secunderabad,Vitis AI / Vision is a library of AIE / PL  ( HLS / RTL )  Accelerators / IPs and SW compilers and other components which accelerate vision algorithms and apps on FPGAs with a,"algorithms  ,  c    ,  signal processing  ,  compilers  ,  big data  ,  python  ,  c  ,  machine learning"
151,      Senior Engineer- Data and BI / AI ,    zf friedrichshafen -itc,3 - 6 yrs,,Hyderabad/Secunderabad,"Your Profile :Degree in computer science ,  business information technology or related disciplines with 3 years of analysis and development experience in analytics and BI envi","information technology  ,  bi  ,  sql  ,  database  ,  devops  ,  ssrs  ,  adf  ,  python  ,  problem solving"
152,      Senior AI Leader ,    APPLYCUP HIRING SOLUTIONS LLP,10 - 13 yrs,,Bengaluru / Bangalore,"Qualification : M tech / MS or Higher Experience : 10 - 12 YearsSkills : consulting ,  services experienceJob Description :Job Description:-Looking to build the next generatio","it management  ,  oracle  ,  machine learning"
153,      Junior BDE ,    TandA HR Solutions,1 - 4 yrs,,Mohali,Hiring for Junior BDE in Mohali for an IT companyDestination:- Junior BDE1 Experience- Min 1 Year2. Salary- 10-15k PM3. Qualification- Graduate4. Gender- Any5. Location- Mohal,"PHP  ,  JS  ,   PYTHON  ,   AI  ,   Shopify.android  ,   IOS"
154,AI / ML engineering architect ,    WELLS FARGO INDIA,5 - 8 yrs,,Bengaluru / Bangalore,The Enterprise Analytics and Data Science  ( EADS )  organization is looking for an expert AI / ML engineering architect to join our team and help us design and build architec,"orchestration  ,  rest api  ,  bi  ,  storage  ,  big data  ,  cloud services  ,  team player  ,  django"
155,AI  Visual Computing TSS ,    Intel Technology India Pvt Ltd,2 - 5 yrs,,Bengaluru / Bangalore,AI  Visual Computing TSS Job DescriptionThis is a commission-based technical specialist position within DCG  ( Data Center Group )  Sales Group in Intel's SMG  ( Sales and Mar,"technical specialist  ,  linux  ,  debugging  ,  python  ,  cloud services  ,  c   programming  ,  team player  ,  machine learning  ,  written communication"
156,AI  Visual Computing TSS ,    Intel Technologies,2 - 5 yrs,,Bengaluru / Bangalore,AI  Visual Computing TSS Job DescriptionThis is a commission-based technical specialist position within DCG  ( Data Center Group )  Sales Group in Intel's SMG  ( Sales and Mar,"technical specialist  ,  linux  ,  debugging  ,  python  ,  cloud services  ,  c   programming  ,  team player  ,  machine learning  ,  written communication"
157,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,1 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
158,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
159,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
160,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
161,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
162,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
163,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
164,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
165,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
166,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,0 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
167,      Principal Consultant - Data AI ,    kyndryl india pvt ltd,1 - 3 yrs,,"Hyderabad/Secunderabad,  Noida/Greater Noida,  Bengaluru / Bangalore","Our world has never been more alive with opportunities and ,  at Kyndryl ,  were ready to seize them. We design ,  build ,  manage and modernize the mission-critical technolog","principal consultant  ,  artificial intelligence  ,  devops  ,  big data  ,  cli  ,  github  ,  python  ,  impala  ,  visual studio  ,  software developer  ,  microsoft technologies  ,  scala  ,  bi  ,  data warehousing  ,  sharepoint  ,  storage  ,  sql  ,  database  ,  hadoop  ,  machine learning"
168,      Product Manager - AI Products ,    jupiter,3 - 6 yrs,,Bengaluru / Bangalore,"Were looking for a highly driven Product Manager to develop machine learning products at Jupiter. You will need a deep understanding of consumer behaviour ,  a passion for dat","mobile  ,  machine learning  ,  press"
169,      Senior AI / ML Developer ,    TEAMPLUS STAFFING SOLUTION PVT. LTD.,5 - 8 yrs,,Bengaluru / Bangalore,ResponsibilitiesIdentify valuable data sources  ( internal or external )  and integrate the collection processesUndertake pre-processing of structured and unstructured dataAna,"hive  ,  algorithms  ,  c    ,  data mining  ,  ensemble  ,  java  ,  hadoop  ,  python  ,  c  ,  machine learning  ,  javascript  ,  mapreduce"
170,      Senior AI / ML Developer ,    TEAMPLUS STAFFING SOLUTION PVT. LTD.,5 - 8 yrs,,Bengaluru / Bangalore,ResponsibilitiesIdentify valuable data sources  ( internal or external )  and integrate the collection processes  Undertake pre-processing of structured and unstructured dataA,"hive  ,  algorithms  ,  c    ,  data mining  ,  ensemble  ,  java  ,  hadoop  ,  python  ,  c  ,  machine learning  ,  javascript  ,  mapreduce"
171,AI / ML DEVELOPER ,    Ushyaku Software Solutions LLP,0 - 3 yrs,,Gurgaon,Job Description Creating Scalable Machine Learning systems that are highly performantIdentifying patterns in data streams and generating actionable insightsCustomizing Machine,"algorithms  ,  python  ,  data mining  ,  information retrieval  ,  machine learning  ,  artificial intelligence  ,  sql"
172,AI ML Software Architect ,    Intel Technologies,10 - 13 yrs,,Bengaluru / Bangalore,"AI ML Software Architect Job DescriptionWe are looking for AI SW Architect ,  who is passionate about AI and deep learning ,  to work on Intel EDGE SW platforms and enhance AI","algorithms  ,  cuda  ,  orchestration  ,  rest api  ,  storage  ,  linux  ,  software engineering  ,  python  ,  c  ,  c   programming  ,  kernel  ,  machine learning  ,  windows  ,  infrastructure"
173,      Senior AI /  ML Developer ,    Wow Labz,0 - 3 yrs,,Bengaluru / Bangalore,Role  &  Responsibilities: Identify valuable data sources and automate collection processesStudy and transform data science prototypesResearch and Implement appropriate ML alg,"algorithms  ,  c    ,  scala  ,  sql  ,  java  ,  oops  ,  data structures  ,  hadoop  ,  python  ,  machine learning  ,  django"
174,      Java Developer - Conversational AI ,    SAP Ariba,4 - 7 yrs,,Bengaluru / Bangalore,"As a full stack developer ,  you will be excepted to:Model ,  design ,  implement ,  and test software with openness to new technologies and environmentsImplementation of the ","java  ,  data structures  ,  api  ,  java developer  ,  fundamentals  ,  database  ,  natural language processing  ,  team player  ,  written communication"
